email,veracidade,email_length,local_length,has_number,num_dots,num_unders,num_hyph,unique_ratio,alpha_ratio,digit_ratio,domain,domain_popular,domain_suspicious
lucas_barros@yopmail.com,0,24,12,0,0,1,0,0.75,0.917,0.0,yopmail.com,0,1
453976957@mailme.one,0,20,9,1,0,0,0,0.667,0.0,1.0,mailme.one,0,1
luana.moreira@randommail.xyz,0,28,13,0,1,0,0,0.769,0.923,0.0,randommail.xyz,0,1
carlos.rodrigues@yahoo.com,1,26,16,0,1,0,0,0.75,0.938,0.0,yahoo.com,1,0
abc599@tempmail.com,0,19,6,1,0,0,0,0.833,0.5,0.5,tempmail.com,0,1
3642858@trashmail.com,0,21,7,1,0,0,0,0.857,0.0,1.0,trashmail.com,0,1
464065681815@spammail.net,0,25,12,1,0,0,0,0.5,0.0,1.0,spammail.net,0,1
4185913217@randommail.xyz,0,25,10,1,0,0,0,0.8,0.0,1.0,randommail.xyz,0,1
aline.araujo@live.com,1,21,12,0,1,0,0,0.833,0.917,0.0,live.com,1,0
marcos.nascimento@bol.com.br,1,28,17,0,1,0,0,0.647,0.941,0.0,bol.com.br,1,0
antonio.mendes@live.com,1,23,14,0,1,0,0,0.714,0.929,0.0,live.com,1,0
aline_assis@outlook.co,1,22,11,0,0,1,0,0.636,0.909,0.0,outlook.co,0,1
gabriel.mendes@outlok.com,0,25,14,0,1,0,0,0.857,0.929,0.0,outlok.com,0,1
roberto.santos@aol.com,1,22,14,0,1,0,0,0.643,0.929,0.0,aol.com,1,0
cassis@yaho.com,0,15,6,0,0,0,0,0.667,1.0,0.0,yaho.com,0,1
9151843@randommail.xyz,0,22,7,1,0,0,0,0.857,0.0,1.0,randommail.xyz,0,1
juliana_dias@aol.com,1,20,12,0,0,1,0,0.75,0.917,0.0,aol.com,1,0
mariana@gmail.com,1,17,7,0,0,0,0,0.714,1.0,0.0,gmail.com,1,0
support6291@spammail.net,0,24,11,1,0,0,0,0.909,0.636,0.364,spammail.net,0,1
179611249209@tempmail.com,0,25,12,1,0,0,0,0.583,0.0,1.0,tempmail.com,0,1
08092035@disposablemail.com,0,27,8,1,0,0,0,0.75,0.0,1.0,disposablemail.com,0,1
support6878@mailinator.com,0,26,11,1,0,0,0,0.818,0.636,0.364,mailinator.com,0,1
aline.leite@yaho.com,0,20,11,0,1,0,0,0.636,0.909,0.0,yaho.com,0,1
malves@outlook.co,1,17,6,0,0,0,0,1.0,1.0,0.0,outlook.co,0,1
mailuser85@guerrillamail.com,0,28,10,1,0,0,0,1.0,0.8,0.2,guerrillamail.com,0,1
clara87@outlok.com,1,18,7,1,0,0,0,0.857,0.714,0.286,outlok.com,0,1
gferreira@mailcatch.com,0,23,9,0,0,0,0,0.667,1.0,0.0,mailcatch.com,0,1
rodrigo_ferreira@mailtemp.org,0,29,16,0,0,1,0,0.562,0.938,0.0,mailtemp.org,0,1
091147068272@mailnow.org,0,24,12,1,0,0,0,0.667,0.0,1.0,mailnow.org,0,1
andre.silva@gmail.co,1,20,11,0,1,0,0,0.909,0.909,0.0,gmail.co,0,1
acarvalho@protonmail.com,1,24,9,0,0,0,0,0.778,1.0,0.0,protonmail.com,1,0
maria@aol.com,1,13,5,0,0,0,0,0.8,1.0,0.0,aol.com,1,0
roberto-leite@gmail.com,1,23,13,0,0,0,1,0.615,0.923,0.0,gmail.com,1,0
mariana@gmx.com,1,15,7,0,0,0,0,0.714,1.0,0.0,gmx.com,0,1
joao_barros@yahoo.com,1,21,11,0,0,1,0,0.636,0.909,0.0,yahoo.com,1,0
marcos99@icloud.com,1,19,8,1,0,0,0,0.875,0.75,0.25,icloud.com,1,0
rodrigo-pereira@mailnow.org,0,27,15,0,0,0,1,0.6,0.933,0.0,mailnow.org,0,1
thiago-gomes@yahoo.com,1,22,12,0,0,0,1,0.833,0.917,0.0,yahoo.com,1,0
fwjbuoey6@mailnow.org,0,21,9,1,0,0,0,1.0,0.889,0.111,mailnow.org,0,1
thiago.borges@mailinator.com,0,28,13,0,1,0,0,0.846,0.923,0.0,mailinator.com,0,1
thiago.pereira@outlook.com,1,26,14,0,1,0,0,0.714,0.929,0.0,outlook.com,1,0
beatriz-rocha@outlok.com,1,24,13,0,0,0,1,0.846,0.923,0.0,outlok.com,0,1
antonio.moreira.x@gmaill.com,1,28,17,0,2,0,0,0.588,0.882,0.0,gmaill.com,0,1
mariana29@outlook.com,1,21,9,1,0,0,0,0.778,0.778,0.222,outlook.com,1,0
marcos@hotmial.com,1,18,6,0,0,0,0,1.0,1.0,0.0,hotmial.com,0,1
example550@fake-mail.net,0,24,10,1,0,0,0,0.8,0.7,0.3,fake-mail.net,0,1
hferreira@tempmail.com,0,22,9,0,0,0,0,0.667,1.0,0.0,tempmail.com,0,1
gabriel-barros@gmail.com,1,24,14,0,0,0,1,0.714,0.929,0.0,gmail.com,1,0
aline_rodrigues@tempmail.com,0,28,15,0,0,1,0,0.8,0.933,0.0,tempmail.com,0,1
joao-costa@gmx.com,1,18,10,0,0,0,1,0.7,0.9,0.0,gmx.com,0,1
gustavo_rodrigues@gmail.co,1,26,17,0,0,1,0,0.706,0.941,0.0,gmail.co,0,1
pedro-leite@icloud.com,1,22,11,0,0,0,1,0.818,0.909,0.0,icloud.com,1,0
beatriz.pires@mailinator.com,0,28,13,0,1,0,0,0.769,0.923,0.0,mailinator.com,0,1
088543@spammail.net,0,19,6,1,0,0,0,0.833,0.0,1.0,spammail.net,0,1
andre-nascimento@gmail.co,0,25,16,0,0,0,1,0.75,0.938,0.0,gmail.co,0,1
laura.cunha@disposablemail.com,0,30,11,0,1,0,0,0.727,0.909,0.0,disposablemail.com,0,1
aline@aol.com,1,13,5,0,0,0,0,1.0,1.0,0.0,aol.com,1,0
andre-gomes@aol.com,1,19,11,0,0,0,1,0.909,0.909,0.0,aol.com,1,0
gustavo47@yaho.com,1,18,9,1,0,0,0,1.0,0.778,0.222,yaho.com,0,1
rcosta@protonmail.com,1,21,6,0,0,0,0,1.0,1.0,0.0,protonmail.com,1,0
22860941@tempmail.com,0,21,8,1,0,0,0,0.875,0.0,1.0,tempmail.com,0,1
w1gix5hy9lxl0b@trashmail.com,0,28,14,1,0,0,0,0.857,0.714,0.286,trashmail.com,0,1
clara.dias@yaho.com,0,19,10,0,1,0,0,0.8,0.9,0.0,yaho.com,0,1
f_nyv178-d@spammail.net,0,23,10,1,0,1,1,1.0,0.5,0.3,spammail.net,0,1
66d4vwdt@mailme.one,0,19,8,1,0,0,0,0.75,0.625,0.375,mailme.one,0,1
carlos-carvalho@tempmail.com,0,28,15,0,0,0,1,0.6,0.933,0.0,tempmail.com,0,1
nicolas792@outlook.co,1,21,10,1,0,0,0,1.0,0.7,0.3,outlook.co,0,1
thiago_barros@outlook.co,1,24,13,0,0,1,0,0.769,0.923,0.0,outlook.co,0,1
3082646356@fake-mail.net,0,24,10,1,0,0,0,0.7,0.0,1.0,fake-mail.net,0,1
debora.assis@live.com,1,21,12,0,1,0,0,0.75,0.917,0.0,live.com,1,0
do.qbzc78lxyrx@10minutemail.com,0,31,14,1,1,0,0,0.929,0.786,0.143,10minutemail.com,0,1
3ty0wugeg1@trashmail.com,0,24,10,1,0,0,0,0.9,0.7,0.3,trashmail.com,0,1
ana@mailtemp.org,0,16,3,0,0,0,0,0.667,1.0,0.0,mailtemp.org,0,1
rodrigo33@hotmial.com,1,21,9,1,0,0,0,0.667,0.778,0.222,hotmial.com,0,1
vborges@disposablemail.com,0,26,7,0,0,0,0,1.0,1.0,0.0,disposablemail.com,0,1
srocha@aol.com,1,14,6,0,0,0,0,1.0,1.0,0.0,aol.com,1,0
pedro852@icloud.com,1,19,8,1,0,0,0,1.0,0.625,0.375,icloud.com,1,0
gassis@tempmail.co,0,18,6,0,0,0,0,0.667,1.0,0.0,tempmail.co,0,1
giorgia698@yaho.com,1,19,10,1,0,0,0,0.8,0.7,0.3,yaho.com,0,1
14709184026@10minutemail.com,0,28,11,1,0,0,0,0.727,0.0,1.0,10minutemail.com,0,1
lucas_pereira@protonmail.com,1,28,13,0,0,1,0,0.769,0.923,0.0,protonmail.com,1,0
7523531401@disposablemail.com,0,29,10,1,0,0,0,0.7,0.0,1.0,disposablemail.com,0,1
carlos.oliveira@gmaill.com,1,26,15,0,1,0,0,0.667,0.933,0.0,gmaill.com,0,1
antonio.freitas@disposablemail.com,0,34,15,0,1,0,0,0.667,0.933,0.0,disposablemail.com,0,1
176231095@10minutemail.com,0,26,9,1,0,0,0,0.889,0.0,1.0,10minutemail.com,0,1
juliana_araujo@live.com,1,23,14,0,0,1,0,0.643,0.929,0.0,live.com,1,0
24227516083@mailinator.com,0,26,11,1,0,0,0,0.818,0.0,1.0,mailinator.com,0,1
dtbxt6ye@randommail.xyz,0,23,8,1,0,0,0,0.875,0.875,0.125,randommail.xyz,0,1
hk5gyimq5glhc0@randommail.xyz,0,29,14,1,0,0,0,0.786,0.786,0.214,randommail.xyz,0,1
14363161@yopmail.com,0,20,8,1,0,0,0,0.5,0.0,1.0,yopmail.com,0,1
whzr4ur1@mailinator.com,0,23,8,1,0,0,0,0.875,0.75,0.25,mailinator.com,0,1
jhe17o7pn@tempmail.co,0,21,9,1,0,0,0,0.889,0.667,0.333,tempmail.co,0,1
debora@gmaill.com,1,17,6,0,0,0,0,1.0,1.0,0.0,gmaill.com,0,1
pedro@outlook.com,1,17,5,0,0,0,0,1.0,1.0,0.0,outlook.com,1,0
41764@randommail.xyz,0,20,5,1,0,0,0,0.8,0.0,1.0,randommail.xyz,0,1
paula29@mailcatch.com,0,21,7,1,0,0,0,0.857,0.714,0.286,mailcatch.com,0,1
juliana_assis@yopmail.com,0,25,13,0,0,1,0,0.615,0.923,0.0,yopmail.com,0,1
nicolas_moura@bol.com.br,1,24,13,0,0,1,0,0.846,0.923,0.0,bol.com.br,1,0
help3460@randommail.xyz,0,23,8,1,0,0,0,1.0,0.5,0.5,randommail.xyz,0,1
nicolas@yaho.com,1,16,7,0,0,0,0,1.0,1.0,0.0,yaho.com,0,1
gantunes@protonmail.com,1,23,8,0,0,0,0,0.875,1.0,0.0,protonmail.com,1,0
954362618@tempmail.com,0,22,9,1,0,0,0,0.889,0.0,1.0,tempmail.com,0,1
692462475@fake-mail.net,0,23,9,1,0,0,0,0.667,0.0,1.0,fake-mail.net,0,1
307221904@guerrillamail.com,0,27,9,1,0,0,0,0.778,0.0,1.0,guerrillamail.com,0,1
andre915@live.com,1,17,8,1,0,0,0,1.0,0.625,0.375,live.com,1,0
rafael19@yahoo.com,1,18,8,1,0,0,0,0.875,0.75,0.25,yahoo.com,1,0
help7486@fake-mail.net,0,22,8,1,0,0,0,1.0,0.5,0.5,fake-mail.net,0,1
116021064@tempmail.co,0,21,9,1,0,0,0,0.556,0.0,1.0,tempmail.co,0,1
admin8945@yopmail.com,0,21,9,1,0,0,0,1.0,0.556,0.444,yopmail.com,0,1
giorgia868@bol.com.br,1,21,10,1,0,0,0,0.7,0.7,0.3,bol.com.br,1,0
vitoria958@outlook.co,1,21,10,1,0,0,0,0.9,0.7,0.3,outlook.co,0,1
henrique198@trashmail.com,0,25,11,1,0,0,0,0.909,0.727,0.273,trashmail.com,0,1
64203258876@disposablemail.com,0,30,11,1,0,0,0,0.727,0.0,1.0,disposablemail.com,0,1
felipe96@bol.com.br,1,19,8,1,0,0,0,0.875,0.75,0.25,bol.com.br,1,0
laura@gmail.com,1,15,5,0,0,0,0,0.8,1.0,0.0,gmail.com,1,0
0505893@mailtemp.org,0,20,7,1,0,0,0,0.714,0.0,1.0,mailtemp.org,0,1
pedro_oliveira@hotmial.com,1,26,14,0,0,1,0,0.714,0.929,0.0,hotmial.com,0,1
marcos_assis@uol.com.br,1,23,12,0,0,1,0,0.667,0.917,0.0,uol.com.br,1,0
bpereira@gmx.com,1,16,8,0,0,0,0,0.75,1.0,0.0,gmx.com,0,1
ricardo_pereira@gmx.com,0,23,15,0,0,1,0,0.6,0.933,0.0,gmx.com,0,1
vmoreira@hotmial.com,1,20,8,0,0,0,0,0.875,1.0,0.0,hotmial.com,0,1
mailuser649@10minutemail.com,0,28,11,1,0,0,0,1.0,0.727,0.273,10minutemail.com,0,1
lucas@icloud.com,1,16,5,0,0,0,0,1.0,1.0,0.0,icloud.com,1,0
pedro.ribeiro@outlook.co,0,24,13,0,1,0,0,0.615,0.923,0.0,outlook.co,0,1
rfreitas@mailme.one,0,19,8,0,0,0,0,0.875,1.0,0.0,mailme.one,0,1
mariana-moreira@spammail.net,1,28,15,0,0,0,1,0.533,0.933,0.0,spammail.net,0,1
antonio49@uol.com.br,1,20,9,1,0,0,0,0.778,0.778,0.222,uol.com.br,1,0
debora-martins@outlook.co,1,25,14,0,0,0,1,0.857,0.929,0.0,outlook.co,0,1
rodrigo.leite.jr@spammail.net,0,29,16,0,2,0,0,0.625,0.875,0.0,spammail.net,0,1
532390853037@fake-mail.net,0,26,12,1,0,0,0,0.583,0.0,1.0,fake-mail.net,0,1
bruno16@outlook.co,1,18,7,1,0,0,0,1.0,0.714,0.286,outlook.co,0,1
1981976@spammail.net,0,20,7,1,0,0,0,0.714,0.0,1.0,spammail.net,0,1
sandra-oliveira@gmaill.com,1,26,15,0,0,0,1,0.733,0.933,0.0,gmaill.com,0,1
sandra99@hotmial.com,1,20,8,1,0,0,0,0.75,0.75,0.25,hotmial.com,0,1
antonio58@gmaill.com,0,20,9,1,0,0,0,0.778,0.778,0.222,gmaill.com,0,1
mariana-cunha@gmaill.com,1,24,13,0,0,0,1,0.692,0.923,0.0,gmaill.com,0,1
test190@mailcatch.com,0,21,7,1,0,0,0,0.857,0.571,0.429,mailcatch.com,0,1
giorgia270.jr@yaho.com,1,22,13,1,1,0,0,0.769,0.692,0.231,yaho.com,0,1
debora-borges.jr@protonmail.com,1,31,16,0,1,0,1,0.688,0.875,0.0,protonmail.com,1,0
thiago171@guerrillamail.com,0,27,9,1,0,0,0,0.889,0.667,0.333,guerrillamail.com,0,1
mariana755@gmaill.com,0,21,10,1,0,0,0,0.7,0.7,0.3,gmaill.com,0,1
gabriel.costa@icloud.com,1,24,13,0,1,0,0,0.923,0.923,0.0,icloud.com,1,0
plomrt.a99m_@10minutemail.com,0,29,12,1,1,1,0,0.833,0.667,0.167,10minutemail.com,0,1
thiago.moura@yahoo.com,1,22,12,0,1,0,0,0.833,0.917,0.0,yahoo.com,1,0
nicolas.alves@outlok.com,1,24,13,0,1,0,0,0.769,0.923,0.0,outlok.com,0,1
mariana-gomes@gmaill.com,1,24,13,0,0,0,1,0.769,0.923,0.0,gmaill.com,0,1
beatriz_santos@yaho.com,0,23,14,0,0,1,0,0.786,0.929,0.0,yaho.com,0,1
0yucqefrsatq@10minutemail.com,0,29,12,1,0,0,0,0.917,0.917,0.083,10minutemail.com,0,1
pedro62@aol.com,1,15,7,1,0,0,0,1.0,0.714,0.286,aol.com,1,0
laura.lima@randommail.xyz,0,25,10,0,1,0,0,0.7,0.9,0.0,randommail.xyz,0,1
gpires@spammail.net,0,19,6,0,0,0,0,1.0,1.0,0.0,spammail.net,0,1
balves@gmail.com,1,16,6,0,0,0,0,1.0,1.0,0.0,gmail.com,1,0
clara703@gmail.com,1,18,8,1,0,0,0,0.875,0.625,0.375,gmail.com,1,0
garaujo@spammail.net,0,20,7,0,0,0,0,0.857,1.0,0.0,spammail.net,0,1
fleite@hotmail.com,1,18,6,0,0,0,0,0.833,1.0,0.0,hotmail.com,1,0
lucas@gmaill.com,0,16,5,0,0,0,0,1.0,1.0,0.0,gmaill.com,0,1
pedro.lima@hotmial.com,1,22,10,0,1,0,0,1.0,0.9,0.0,hotmial.com,0,1
rmendes@yaho.com,1,16,7,0,0,0,0,0.857,1.0,0.0,yaho.com,0,1
1902216@mailinator.com,0,22,7,1,0,0,0,0.714,0.0,1.0,mailinator.com,0,1
erodrigues@mailcatch.com,0,24,10,0,0,0,0,0.8,1.0,0.0,mailcatch.com,0,1
pdias.jr@gmail.co,1,17,8,0,1,0,0,1.0,0.875,0.0,gmail.co,0,1
rafael-martins@outlok.com,1,25,14,0,0,0,1,0.786,0.929,0.0,outlok.com,0,1
sandra_mendes@uol.com.br,1,24,13,0,0,1,0,0.615,0.923,0.0,uol.com.br,1,0
mailuser330@mailme.one,0,22,11,1,0,0,0,0.909,0.727,0.273,mailme.one,0,1
help513@yopmail.com,0,19,7,1,0,0,0,1.0,0.571,0.429,yopmail.com,0,1
bruno.jr@mailnow.org,1,20,8,0,1,0,0,0.875,0.875,0.0,mailnow.org,0,1
test468@trashmail.com,0,21,7,1,0,0,0,0.857,0.571,0.429,trashmail.com,0,1
camila.rodrigues@outlok.com,1,27,16,0,1,0,0,0.812,0.938,0.0,outlok.com,0,1
pttcrdevc@disposablemail.com,0,28,9,0,0,0,0,0.778,1.0,0.0,disposablemail.com,0,1
beatriz@live.com,1,16,7,0,0,0,0,1.0,1.0,0.0,live.com,1,0
82394908288@10minutemail.com,0,28,11,1,0,0,0,0.545,0.0,1.0,10minutemail.com,0,1
05275@mailcatch.com,0,19,5,1,0,0,0,0.8,0.0,1.0,mailcatch.com,0,1
maria818@randommail.xyz,0,23,8,1,0,0,0,0.75,0.625,0.375,randommail.xyz,0,1
ccosta@hotmail.com,1,18,6,0,0,0,0,0.833,1.0,0.0,hotmail.com,1,0
2289430@yopmail.com,0,19,7,1,0,0,0,0.857,0.0,1.0,yopmail.com,0,1
jleite@gmaill.com,1,17,6,0,0,0,0,0.833,1.0,0.0,gmaill.com,0,1
help6936@spammail.net,0,21,8,1,0,0,0,0.875,0.5,0.5,spammail.net,0,1
mpereira.jr@outlok.com,1,22,11,0,1,0,0,0.727,0.909,0.0,outlok.com,0,1
help147@tempmail.co,0,19,7,1,0,0,0,1.0,0.571,0.429,tempmail.co,0,1
juliana.ribeiro@gmaill.com,1,26,15,0,1,0,0,0.733,0.933,0.0,gmaill.com,0,1
mateus@yahoo.com,1,16,6,0,0,0,0,1.0,1.0,0.0,yahoo.com,1,0
mariana39@gmail.co,1,18,9,1,0,0,0,0.778,0.778,0.222,gmail.co,0,1
maria-pires@spammail.net,0,24,11,0,0,0,1,0.727,0.909,0.0,spammail.net,0,1
bruno29@hotmial.com,1,19,7,1,0,0,0,1.0,0.714,0.286,hotmial.com,0,1
juliana-souza@terra.com.br,1,26,13,0,0,0,1,0.769,0.923,0.0,terra.com.br,1,0
carlos.borges@randommail.xyz,0,28,13,0,1,0,0,0.769,0.923,0.0,randommail.xyz,0,1
gabriel83@icloud.com,1,20,9,1,0,0,0,1.0,0.778,0.222,icloud.com,1,0
contact1017@randommail.xyz,0,26,11,1,0,0,0,0.727,0.636,0.364,randommail.xyz,0,1
fernando679@fake-mail.net,0,25,11,1,0,0,0,0.909,0.727,0.273,fake-mail.net,0,1
giorgia.vieira@mailcatch.com,0,28,14,0,1,0,0,0.571,0.929,0.0,mailcatch.com,0,1
fernando-costa@terra.com.br,1,27,14,0,0,0,1,0.786,0.929,0.0,terra.com.br,1,0
317464207@mailtemp.org,0,22,9,1,0,0,0,0.778,0.0,1.0,mailtemp.org,0,1
mmartins@bol.com.br,1,19,8,0,0,0,0,0.875,1.0,0.0,bol.com.br,1,0
isabela84@icloud.com,1,20,9,1,0,0,0,0.889,0.778,0.222,icloud.com,1,0
antonio_martins@outlook.com,1,27,15,0,0,1,0,0.6,0.933,0.0,outlook.com,1,0
mateus-araujo@gmaill.com,1,24,13,0,0,0,1,0.769,0.923,0.0,gmaill.com,0,1
henrique-assis@gmx.com,1,22,14,0,0,0,1,0.714,0.929,0.0,gmx.com,0,1
admin7140@randommail.xyz,0,24,9,1,0,0,0,1.0,0.556,0.444,randommail.xyz,0,1
wtp0kzupnei5zr@mailtemp.org,0,27,14,1,0,0,0,0.857,0.857,0.143,mailtemp.org,0,1
maria.ribeiro@gmail.co,1,22,13,0,1,0,0,0.615,0.923,0.0,gmail.co,0,1
antonio-souza@uol.com.br,1,24,13,0,0,0,1,0.692,0.923,0.0,uol.com.br,1,0
vitoria@fake-mail.net,0,21,7,0,0,0,0,0.857,1.0,0.0,fake-mail.net,0,1
maria439@yopmail.com,1,20,8,1,0,0,0,0.875,0.625,0.375,yopmail.com,0,1
sandra@gmaill.com,1,17,6,0,0,0,0,0.833,1.0,0.0,gmaill.com,0,1
maria_pires@aol.com,1,19,11,0,0,1,0,0.727,0.909,0.0,aol.com,1,0
mateus-pereira@yopmail.com,0,26,14,0,0,0,1,0.714,0.929,0.0,yopmail.com,0,1
thiago@fake-mail.net,0,20,6,0,0,0,0,1.0,1.0,0.0,fake-mail.net,0,1
sofia-pereira@yahoo.com,1,23,13,0,0,0,1,0.692,0.923,0.0,yahoo.com,1,0
lbarros@bol.com.br,1,18,7,0,0,0,0,0.857,1.0,0.0,bol.com.br,1,0
z1ncd9zhnl3w@disposablemail.com,0,31,12,1,0,0,0,0.833,0.75,0.25,disposablemail.com,0,1
m785zd7scrv3ho@disposablemail.com,0,33,14,1,0,0,0,0.929,0.643,0.357,disposablemail.com,0,1
juliana-silva@live.com,1,22,13,0,0,0,1,0.692,0.923,0.0,live.com,1,0
juliana68@randommail.xyz,1,24,9,1,0,0,0,0.889,0.778,0.222,randommail.xyz,0,1
giorgia.vieira@mailinator.com,1,29,14,0,1,0,0,0.571,0.929,0.0,mailinator.com,0,1
ricardo_rodrigues@bol.com.br,1,28,17,0,0,1,0,0.647,0.941,0.0,bol.com.br,1,0
rvieira@gmaill.com,1,18,7,0,0,0,0,0.714,1.0,0.0,gmaill.com,0,1
maria_ribeiro@outlok.com,1,24,13,0,0,1,0,0.615,0.923,0.0,outlok.com,0,1
40gs1nh66d@trashmail.com,0,24,10,1,0,0,0,0.9,0.5,0.5,trashmail.com,0,1
53759470767@yopmail.com,0,23,11,1,0,0,0,0.636,0.0,1.0,yopmail.com,0,1
antonio.oliveira@gmx.com,1,24,16,0,1,0,0,0.625,0.938,0.0,gmx.com,0,1
fernando-lima@gmx.com,1,21,13,0,0,0,1,0.846,0.923,0.0,gmx.com,0,1
7459046@randommail.xyz,0,22,7,1,0,0,0,0.857,0.0,1.0,randommail.xyz,0,1
qgi1pu7xnm3@mailme.one,0,22,11,1,0,0,0,1.0,0.727,0.273,mailme.one,0,1
mariana_freitas@gmaill.com,0,26,15,0,0,1,0,0.667,0.933,0.0,gmaill.com,0,1
help8523@yopmail.com,0,20,8,1,0,0,0,1.0,0.5,0.5,yopmail.com,0,1
rodrigo33@gmaill.com,0,20,9,1,0,0,0,0.667,0.778,0.222,gmaill.com,0,1
393426709@guerrillamail.com,0,27,9,1,0,0,0,0.778,0.0,1.0,guerrillamail.com,0,1
5642402@10minutemail.com,0,24,7,1,0,0,0,0.714,0.0,1.0,10minutemail.com,0,1
921746794@tempmail.com,0,22,9,1,0,0,0,0.667,0.0,1.0,tempmail.com,0,1
marcos_oliveira@guerrillamail.com,0,33,15,0,0,1,0,0.733,0.933,0.0,guerrillamail.com,0,1
44002803812@mailinator.com,0,26,11,1,0,0,0,0.545,0.0,1.0,mailinator.com,0,1
nicolas-moreira@fake-mail.net,1,29,15,0,0,0,1,0.733,0.933,0.0,fake-mail.net,0,1
andre-pereira@icloud.com,1,24,13,0,0,0,1,0.615,0.923,0.0,icloud.com,1,0
felipe_lima@mailme.one,1,22,11,0,0,1,0,0.727,0.909,0.0,mailme.one,0,1
rmoreira@outlook.com,1,20,8,0,0,0,0,0.75,1.0,0.0,outlook.com,1,0
dbarros@disposablemail.com,0,26,7,0,0,0,0,0.857,1.0,0.0,disposablemail.com,0,1
